FindSpotID,RomanProvince,AncientSite,SpecificAncientLocation,ModernSite,SpecificModernLocation,ExtraLocationNote,LONGITUDE_epsg_4326,LATITUDE_epsg_4326,Pleiades,Trismegistos
1,Dalmatia,Tilurium,,"Vojnić","built into modern structure",,16.700356,43.615035,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
2,Dalmatia,Aequum,,Sinj,,,16.655704,43.739278,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893
3,Dalmatia,Spalatum,,Split,"Mausoleum of Diocletian",,16.4388951,43.507814,https://pleiades.stoa.org/places/834862588,https://www.trismegistos.org/place/29361
4,Dalmatia,Aequum,,Hrvace,"built into modern structure","near Sinj",16.621101,43.755188,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893
5,Dalmatia,Tilurium,,"Vojnić",,,16.700356,43.615035,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
6,Dalmatia,Tilurium,,Gardun,,,16.714766,43.612006,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
7,Dalmatia,,,,,,,,https://pleiades.stoa.org/places/981522,https://www.trismegistos.org/place/11624
8,Dalmatia,Salona,"North Necropolis",Solin,,"Matinčevo-Porta Suburbia I",16.476543,43.53869,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
9,Dalmatia,Salona,"East Necropolis",Solin,,"near Porta Andetria",16.491405,43.541733,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
10,Dalmatia,Iadera,,Zadar,"built into modern structure",,15.237922,44.120336,https://pleiades.stoa.org/places/197312,https://www.trismegistos.org/place/28796
11,Dalmatia,Salona,,Solin,,,16.483426,43.539561,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
12,Dalmatia,"Pagus Scunasticus",,"Filovača","carved into rock",,17.561619,43.195182,,https://www.trismegistos.org/place/43363
13,Dalmatia,Tilurium,,Gardun,"built into modern structure",,16.714676,43.612652,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
14,Dalmatia,Iadera,,Zadar,"Church of st Michael",,15.283776,44.219355,https://pleiades.stoa.org/places/197312,https://www.trismegistos.org/place/28796
15,Dalmatia,Narona,,Vid,,"near Metković",17.62464523,43.08130155,https://pleiades.stoa.org/places/197400,https://www.trismegistos.org/place/16527
16,Thracia,Lysimacheia,,Bolayir,,,26.762394,40.51592,https://pleiades.stoa.org/places/501458,https://www.trismegistos.org/place/3582
17,Dalmatia,,,Dugopolje,"part of c.4th Late Antique tomb",,16.589915,43.599333,,https://www.trismegistos.org/place/29360
18,Dalmatia,Corinium,,"Donji Karin",,,15.633504,44.104527,https://pleiades.stoa.org/places/197225,https://www.trismegistos.org/place/29319
19,Dalmatia,Tilurium,,"Košute",,,16.699521,43.626113,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
20,Dalmatia,,,Dicmo,,,16.593133,43.635791,,https://www.trismegistos.org/place/29340
21,Dalmatia,,,Prud,,,17.5494842,43.0920794,,https://www.trismegistos.org/place/36202
22,Dalmatia,,,Imotski,,,17.217691,43.447478,,https://www.trismegistos.org/place/29382
23,Dalmatia,"Pons Tiluri",,Trilj,"Cetina River",,16.728064,43.61461719,https://pleiades.stoa.org/places/197453,https://www.trismegistos.org/place/40852
24,"Moesia Superior",Viminacium,,Drmno,,,21.230575,44.73291,https://pleiades.stoa.org/places/207549,https://www.trismegistos.org/place/29642
25,Dalmatia,"Pagus Scunasticus",,Vuna-Hardomilje,,,17.544753,43.159097,,https://www.trismegistos.org/place/43363
26,Dalmatia,Asseria,,"Podgrađe",,,15.6663802,44.01096805,https://pleiades.stoa.org/places/197145,https://www.trismegistos.org/place/28793
27,Dalmatia,"Pagus Scunasticus",,Veljaci,,,17.445,43.237222,,https://www.trismegistos.org/place/43363
28,Dalmatia,Aequum,,Glavice,,"5km from Čitluk",16.661095,43.711624,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893
29,Dalmatia,Tilurium,,Trilj,"built into modern structure",,16.723601,43.618756,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
30,Dalmatia,"Municipium Riditarum/Rider",,Danilo,,"near Šibenik",16.055704,43.700462,https://pleiades.stoa.org/places/197473,https://www.trismegistos.org/place/29458
31,Dalmatia,Narona,,"Čitluk",,,17.698194,43.228021,https://pleiades.stoa.org/places/197400,https://www.trismegistos.org/place/16527
32,Dalmatia,Andetrium,,"Gornji Muć","built into modern structure",,16.484007,43.690597,https://pleiades.stoa.org/places/197115,https://www.trismegistos.org/place/29420
33,Dalmatia,"Pagus Scunasticus",,"Gračine-Humac",,,17.528855,43.182217,,https://www.trismegistos.org/place/43363
34,Dalmatia,Aequum,,Hrvace,,,16.621101,43.755188,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893
35,Dalmatia,Siculi,,"Bijaći",,"near Tragurium/Trogir",16.298595,43.555434,https://pleiades.stoa.org/places/197511,https://www.trismegistos.org/place/29385
36,Dalmatia,Salona,"Porta Caesarea-Five bridges",Solin,,"Pet mostova",16.483576,43.538339,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
37,Dalmatia,Salona,"North Necropolis","Kapljuč","re-used in Christian Cemetery",,16.47679,43.53937,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
38,Dalmatia,"Pagus Scunasticus",,Grebine-Vitaljina,"re-used in Medieval Cemetery",,17.5285698,43.182298,,https://www.trismegistos.org/place/43363
39,Dalmatia,,,Vaganj-Jajce,,,17.17608,44.15513,,https://www.trismegistos.org/place/36267
40,Galatia,"Antiochia Pisidiae",,"Yalvaç",,,31.1894355,38.305175,https://pleiades.stoa.org/places/609307,https://www.trismegistos.org/place/204
41,Galatia,Cormasa,,"Gâvur Ören",,"near Antiochia Pisidiae",30.1194035,37.5053445,https://pleiades.stoa.org/places/638936,https://www.trismegistos.org/place/16132
42,Galatia,Iconium,,Konya,,"near Antiochia Pisidiae",32.492331,37.872202,https://pleiades.stoa.org/places/648647,https://www.trismegistos.org/place/2919
43,Dalmatia,Tragurium,,Trogir,,,16.25063,43.517639,https://pleiades.stoa.org/places/197555,https://www.trismegistos.org/place/29369
44,Dalmatia,Burnum,,Kistanje,,,16.025622,44.018914,https://pleiades.stoa.org/places/197184,https://www.trismegistos.org/place/29387
45,Dalmatia,Salona,"East Necropolis",Klis,,,16.496858,43.540222,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
46,Dalmatia,Tragurium,,"Seget Donji",,,16.2333,43.5167,https://pleiades.stoa.org/places/197555,https://www.trismegistos.org/place/29369
47,Dalmatia,Andetrium,,"Gornji Postinje",,,16.424,43.701,https://pleiades.stoa.org/places/197115,https://www.trismegistos.org/place/29420
48,Dalmatia,,,"Popovići",,"near Karin",15.663098,44.075137,,https://www.trismegistos.org/place/36189
49,Dalmatia,,,Krug,,"near Jesenice, Poljice",16.634664,43.456728,,https://www.trismegistos.org/place/36097
50,Dalmatia,,,"Razvođe",,"near Burnum/Kistanje",16.107708,43.92898,,
51,Dalmatia,,,Gorica,,"near Dubrava, Poljice",16.647371,43.495214,,
52,Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",16.695576,43.675387,,
53,Dalmatia,Aequum,,Krinj-Hrvace,,,16.644167,43.745556,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893
54,Dalmatia,Aequum,,"Čitluk",,,16.655704,43.739278,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893
55,Galatia,Apollonia/Tymandus,,,,,30.607024,38.104416,https://pleiades.stoa.org/places/609563,https://www.trismegistos.org/place/16444
56,Dalmatia,"Pagus Scunasticus",,"Glavica-Ljubuški","carved into rock",,17.556913,43.196349,,https://www.trismegistos.org/place/43363
57,Dalmatia,"Pagus Scunasticus",,Humac,"built into modern structure",,17.528855,43.182217,,https://www.trismegistos.org/place/43363
58,Dalmatia,"Pagus Scunasticus",,Smokovice-Hardomilje,"secondary use","right bank of Trebižat river",17.544753,43.159097,,https://www.trismegistos.org/place/43363
59,Dalmatia,Tilurium,,"Vojnić",,"found between Vojnić and Gardun",16.700356,43.615035,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
60,Dalmatia,Salona,"North Necropolis","Kapljuč","secondary use",,16.47679,43.53937,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
61,Dalmatia,Salona,"North Necropolis",Solin,"surrounds of the amphitheatre",,16.475334,43.538629,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
62,Dalmatia,Salona,"East Necropolis",Solin,,Gradina,16.491401,43.537314,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
63,Dalmatia,Salona,,Solin,"ul. Marka Marulića",,16.493097,43.535713,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043
64,Dalmatia,Iadera,,Zadar,uncertain,,15.237922,44.120336,https://pleiades.stoa.org/places/197312,https://www.trismegistos.org/place/28796
65,Dalmatia,Tragurium,,Trogir,"built into modern structure",,16.25063,43.517639,https://pleiades.stoa.org/places/197555,https://www.trismegistos.org/place/29369
66,Dalmatia,Tilurium,,Trilj,,,16.723601,43.618756,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459
